pr,local_first_attempt_at,local_first_attempt_kind,nearest_public_event_at,nearest_public_event_url,account_reviews_in_window,account_comments_in_window,state,merged_at,outcome_classification
2822,2026-09-07T15:58:23.833Z,review,2026-09-07T15:58:27Z,https://github.com/holon-run/holon/pull/2822#pullrequestreview-5133799097,1,0,MERGED,2026-09-07T16:20:56Z,未分类
2823,2026-09-07T23:33:12.886Z,comment,2026-09-07T23:33:17Z,https://github.com/holon-run/holon/pull/2823#issuecomment-5576745644,1,3,MERGED,2026-09-08T00:02:45Z,未分类
2824,2026-09-07T20:21:49.270Z,review,2026-09-07T20:21:51Z,https://github.com/holon-run/holon/pull/2824#pullrequestreview-5135062582,2,1,MERGED,2026-09-07T21:05:23Z,未分类
2825,2026-09-07T23:43:00.939Z,review,2026-09-07T23:43:03Z,https://github.com/holon-run/holon/pull/2825#pullrequestreview-5135878869,1,1,MERGED,2026-09-08T00:27:31Z,未分类
2826,2026-09-08T00:26:33.248Z,review,2026-09-08T00:26:35Z,https://github.com/holon-run/holon/pull/2826#pullrequestreview-5136123076,1,1,MERGED,2026-09-08T01:50:02Z,未分类
2827,2026-09-08T02:46:08.309Z,review,2026-09-08T02:46:11Z,https://github.com/holon-run/holon/pull/2827#pullrequestreview-5136776871,1,1,MERGED,2026-09-08T03:25:04Z,未分类
2830,2026-09-08T04:09:10.339Z,review,2026-09-08T04:09:12Z,https://github.com/holon-run/holon/pull/2830#pullrequestreview-5137214766,1,0,MERGED,2026-09-08T04:40:30Z,未分类
2831,2026-09-08T04:27:14.755Z,review,2026-09-08T04:27:19Z,https://github.com/holon-run/holon/pull/2831#pullrequestreview-5137313240,1,0,MERGED,2026-09-08T04:49:27Z,未分类
2832,2026-09-08T05:02:51.813Z,review,2026-09-08T05:02:54Z,https://github.com/holon-run/holon/pull/2832#pullrequestreview-5137494006,2,1,MERGED,2026-09-08T05:46:00Z,未分类
2833,2026-09-08T07:40:28.944Z,review,2026-09-08T07:40:32Z,https://github.com/holon-run/holon/pull/2833#pullrequestreview-5138747339,1,0,MERGED,2026-09-08T07:50:25Z,未分类
2834,2026-09-08T08:22:52.507Z,review,2026-09-08T08:22:55Z,https://github.com/holon-run/holon/pull/2834#pullrequestreview-5139163755,1,0,MERGED,2026-09-08T08:29:49Z,未分类
2835,2026-09-08T10:16:56.572Z,review,2026-09-08T10:17:01Z,https://github.com/holon-run/holon/pull/2835#pullrequestreview-5140417482,1,0,MERGED,2026-09-08T10:42:22Z,未分类
2836,2026-09-08T11:02:18.403Z,review,2026-09-08T11:02:22Z,https://github.com/holon-run/holon/pull/2836#pullrequestreview-5140855731,1,0,MERGED,2026-09-08T11:28:58Z,未分类
2839,2026-09-08T12:17:35.124Z,review,2026-09-08T12:17:37Z,https://github.com/holon-run/holon/pull/2839#pullrequestreview-5141550647,1,0,MERGED,2026-09-08T12:47:11Z,未分类
2842,2026-09-08T15:31:13.018Z,review,2026-09-08T15:31:16Z,https://github.com/holon-run/holon/pull/2842#pullrequestreview-5143737567,1,0,MERGED,2026-09-08T15:37:26Z,未分类
2843,2026-09-08T15:49:48.037Z,review,2026-09-08T15:49:55Z,https://github.com/holon-run/holon/pull/2843#pullrequestreview-5143956009,1,1,MERGED,2026-09-08T17:26:00Z,未分类
2844,2026-09-08T15:49:48.037Z,review,2026-09-08T15:49:59Z,https://github.com/holon-run/holon/pull/2844#pullrequestreview-5143956895,1,2,MERGED,2026-09-08T17:32:34Z,未分类
2845,2026-09-08T16:27:22.123Z,review,2026-09-08T16:27:24Z,https://github.com/holon-run/holon/pull/2845#pullrequestreview-5144358639,1,0,MERGED,2026-09-08T17:11:30Z,未分类
2846,2026-09-08T18:14:41.430Z,review,2026-09-08T18:14:44Z,https://github.com/holon-run/holon/pull/2846#pullrequestreview-5145377789,1,1,MERGED,2026-09-08T18:49:13Z,未分类
2848,2026-09-09T04:06:50.780Z,review,2026-09-09T04:06:53Z,https://github.com/holon-run/holon/pull/2848#pullrequestreview-5149619162,1,0,MERGED,2026-09-09T04:35:06Z,未分类
2849,2026-09-09T05:56:20.042Z,review,2026-09-09T05:56:25Z,https://github.com/holon-run/holon/pull/2849#pullrequestreview-5150297998,1,0,MERGED,2026-09-09T06:27:48Z,未分类
2851,2026-09-09T08:29:44.936Z,review,2026-09-09T08:29:47Z,https://github.com/holon-run/holon/pull/2851#pullrequestreview-5151717482,3,1,MERGED,2026-09-09T10:09:32Z,未分类
2853,2026-09-09T09:29:26.650Z,review,2026-09-09T09:29:29Z,https://github.com/holon-run/holon/pull/2853#pullrequestreview-5152366722,3,2,MERGED,2026-09-09T14:07:20Z,未分类
2854,2026-09-09T11:48:41.723Z,review,2026-09-09T11:48:44Z,https://github.com/holon-run/holon/pull/2854#pullrequestreview-5153821610,3,2,MERGED,2026-09-09T15:51:54Z,未分类
2855,2026-09-09T12:05:25.661Z,review,2026-09-09T12:05:28Z,https://github.com/holon-run/holon/pull/2855#pullrequestreview-5153977513,1,0,MERGED,2026-09-09T12:05:36Z,未分类
2856,2026-09-09T12:55:08.462Z,review,2026-09-09T12:55:11Z,https://github.com/holon-run/holon/pull/2856#pullrequestreview-5154523320,1,2,MERGED,2026-09-10T01:32:51Z,未分类
2862,2026-09-10T05:46:12.254Z,review,2026-09-10T05:58:04Z,https://github.com/holon-run/holon/pull/2862#pullrequestreview-5163262534,2,3,MERGED,2026-09-10T06:46:57Z,未分类
2864,2026-09-10T06:05:28.374Z,review,2026-09-10T06:05:30Z,https://github.com/holon-run/holon/pull/2864#pullrequestreview-5163307100,1,1,MERGED,2026-09-10T06:43:17Z,未分类
2867,2026-09-10T06:28:29.145Z,review,2026-09-10T06:28:35Z,https://github.com/holon-run/holon/pull/2867#pullrequestreview-5163456462,1,0,MERGED,2026-09-10T07:08:28Z,未分类
2868,2026-09-10T07:06:17.805Z,review,2026-09-10T07:06:32Z,https://github.com/holon-run/holon/pull/2868#pullrequestreview-5163772003,2,2,MERGED,2026-09-10T08:55:01Z,未分类
2869,2026-09-10T08:39:36.203Z,review,2026-09-10T08:39:39Z,https://github.com/holon-run/holon/pull/2869#pullrequestreview-5164828630,1,0,MERGED,2026-09-10T09:12:20Z,未分类
2870,2026-09-10T09:07:28.029Z,review,2026-09-10T09:07:35Z,https://github.com/holon-run/holon/pull/2870#pullrequestreview-5165107989,1,0,MERGED,2026-09-10T09:08:10Z,未分类
2871,2026-09-10T09:46:20.467Z,review,2026-09-10T09:46:23Z,https://github.com/holon-run/holon/pull/2871#pullrequestreview-5165485308,2,2,MERGED,2026-09-10T13:07:22Z,未分类
2872,2026-09-10T10:36:48.554Z,review,2026-09-10T10:36:51Z,https://github.com/holon-run/holon/pull/2872#pullrequestreview-5166000066,1,1,MERGED,2026-09-10T12:02:13Z,未分类
2878,2026-09-10T16:19:31.893Z,review,2026-09-10T16:19:33Z,https://github.com/holon-run/holon/pull/2878#pullrequestreview-5169623942,1,0,MERGED,2026-09-10T17:00:29Z,未分类
2879,2026-09-10T16:45:23.392Z,review,2026-09-10T16:45:25Z,https://github.com/holon-run/holon/pull/2879#pullrequestreview-5169889147,1,0,MERGED,2026-09-10T17:21:54Z,未分类
2880,2026-09-11T00:44:43.626Z,review,2026-09-11T00:44:45Z,https://github.com/holon-run/holon/pull/2880#pullrequestreview-5173806467,1,0,MERGED,2026-09-11T00:56:50Z,未分类
2882,2026-09-11T01:02:03.073Z,review,2026-09-11T01:02:06Z,https://github.com/holon-run/holon/pull/2882#pullrequestreview-5173928864,1,0,MERGED,2026-09-11T01:06:57Z,未分类
2884,2026-09-11T01:15:38.132Z,review,2026-09-11T01:15:40Z,https://github.com/holon-run/holon/pull/2884#pullrequestreview-5174014329,1,0,MERGED,2026-09-11T01:27:14Z,未分类
2885,2026-09-11T01:26:00.343Z,review,2026-09-11T01:26:02Z,https://github.com/holon-run/holon/pull/2885#pullrequestreview-5174068222,1,0,MERGED,2026-09-11T01:56:11Z,未分类
2886,2026-09-11T03:04:04.916Z,review,2026-09-11T03:04:10Z,https://github.com/holon-run/holon/pull/2886#pullrequestreview-5174597177,1,0,MERGED,2026-09-11T03:11:52Z,未分类
2889,2026-09-11T04:34:43.781Z,review,2026-09-11T04:34:45Z,https://github.com/holon-run/holon/pull/2889#pullrequestreview-5174994108,1,3,MERGED,2026-09-11T10:04:10Z,未分类
2890,2026-09-11T04:38:22.436Z,review,2026-09-11T04:38:24Z,https://github.com/holon-run/holon/pull/2890#pullrequestreview-5175009295,1,0,MERGED,2026-09-11T05:07:13Z,未分类
2891,2026-09-11T05:41:25.049Z,review,2026-09-11T05:41:28Z,https://github.com/holon-run/holon/pull/2891#pullrequestreview-5175318180,1,0,MERGED,2026-09-11T06:20:59Z,未分类
2892,2026-09-11T07:13:41.753Z,review,2026-09-11T07:13:44Z,https://github.com/holon-run/holon/pull/2892#pullrequestreview-5175901773,2,3,MERGED,2026-09-11T08:30:35Z,未分类
2893,2026-09-11T08:02:18.500Z,review,2026-09-11T08:02:23Z,https://github.com/holon-run/holon/pull/2893#pullrequestreview-5176277175,1,1,MERGED,2026-09-11T08:09:45Z,未分类
2894,2026-09-11T08:59:43.526Z,review,2026-09-11T08:59:46Z,https://github.com/holon-run/holon/pull/2894#pullrequestreview-5176790610,1,0,MERGED,2026-09-11T09:24:30Z,未分类
2897,2026-09-11T14:21:46.798Z,review,2026-09-11T14:21:49Z,https://github.com/holon-run/holon/pull/2897#pullrequestreview-5179744696,1,0,MERGED,2026-09-11T14:22:01Z,未分类
2898,2026-09-11T14:42:11.822Z,review,2026-09-11T14:42:14Z,https://github.com/holon-run/holon/pull/2898#pullrequestreview-5179959853,1,2,MERGED,2026-09-11T16:15:08Z,未分类
2899,2026-09-11T16:35:08.650Z,review,2026-09-11T16:35:11Z,https://github.com/holon-run/holon/pull/2899#pullrequestreview-5181145833,1,0,MERGED,2026-09-11T16:42:14Z,未分类
2900,2026-09-11T17:18:40.853Z,review,2026-09-11T17:18:43Z,https://github.com/holon-run/holon/pull/2900#pullrequestreview-5181569805,1,0,MERGED,2026-09-11T17:27:57Z,未分类
